age,years_employed,credit_score,credit_history_years,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,annual_income_log,current_debt_log,savings_assets_log,occupation_status_Self-Employed,occupation_status_Student,product_type_Line of Credit,product_type_Personal Loan,loan_intent_Debt Consolidation,loan_intent_Education,loan_intent_Home Improvement,loan_intent_Medical,loan_intent_Personal,loan_status
38,6.5,657,16.1,0,0,0,44000,17.91,0.585,0.745,0.248,10.986072080127041,10.449294145197364,7.748460023899697,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
37,15.5,622,0.5,0,0,0,50000,12.07,0.439,0.411,0.137,11.708689597460673,10.885191422958515,2.302585092994046,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,0.0,743,0.7,0,0,0,11600,10.18,0.237,0.722,0.241,9.685082755569091,8.245909264774093,2.833213344056216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
48,17.9,680,7.5,0,0,0,78500,11.73,0.359,1.249,0.416,11.048538035310022,10.023845049199862,6.7357800142423265,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
26,1.5,597,1.8,0,1,0,24800,14.21,0.068,0.328,0.109,11.233846281325715,8.53856321715243,6.794586580876499,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
35,4.2,688,4.0,0,0,0,11700,17.23,0.12,0.405,0.135,10.270592910089658,8.150179269682326,6.652863029353347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
31,4.0,685,5.6,0,0,1,9600,17.27,0.461,0.508,0.169,9.846705538437144,9.073145132798338,5.981414211254481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
39,20.5,660,14.6,0,0,0,100000,12.49,0.436,1.62,0.54,11.030428113191096,10.201144708009988,8.175547596021026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
46,17.4,753,14.1,0,0,0,100000,9.61,0.328,1.485,0.495,11.117316623885428,10.001385290812587,7.307872780763706,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
38,4.4,590,3.3,0,0,0,15800,22.02,0.25,0.591,0.197,10.193579219581707,8.808817483100642,7.160069207596127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
22,1.9,599,3.2,0,1,1,14700,21.71,0.493,0.465,0.155,10.361987770523434,9.654449103676551,9.005282288208358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,3.0,719,16.2,0,1,1,74900,10.85,0.159,1.6,0.533,10.754193883197438,8.914626127827137,8.704833909687792,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
18,0.5,731,0.8,0,0,0,1800,16.71,0.35,0.101,0.034,9.790710714933168,8.73985662749357,4.9344739331306915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
28,5.7,549,4.6,0,3,0,55600,22.77,0.351,1.239,0.413,10.711814382882341,9.665991494997519,7.2485040723706105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
18,0.0,586,1.3,1,1,0,14400,22.86,0.285,0.453,0.151,10.367630290261705,9.111624399037025,6.697034247666484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
36,13.2,627,4.9,0,2,0,32700,20.3,0.311,0.58,0.193,10.939018036317941,9.770070439095777,9.449986995389407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,6.6,661,28.7,0,0,0,25000,12.74,0.103,0.44,0.147,10.948699064477122,8.67368398817567,6.732210706467206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
47,13.9,760,5.4,0,0,0,16800,6.65,0.49,0.206,0.069,11.31029507277839,10.59603455302404,7.869019376499023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
25,3.9,809,2.1,0,0,0,68600,14.91,0.025,1.327,0.442,10.853406465390266,7.146772179452637,4.6913478822291435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
29,9.9,670,2.4,0,1,0,13000,17.64,0.136,0.318,0.106,10.619765150484927,8.625868208041894,6.459904454377535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
41,3.5,663,10.5,0,0,0,100000,12.58,0.277,1.227,0.409,11.308468722579924,10.024199627698392,6.453624998892692,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
34,14.4,529,11.7,0,1,1,17200,22.19,0.587,0.803,0.268,9.972267067930954,9.440181444738114,7.146772179452637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
18,0.0,610,1.1,0,0,0,10100,11.87,0.265,0.326,0.109,10.342226237407218,9.014568767457824,6.75110146893676,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33,7.3,627,3.5,0,1,0,53300,14.1,0.384,1.237,0.412,10.67099981505138,9.71420180194054,5.135798437050262,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
34,0.8,571,1.9,0,0,0,5800,14.17,0.131,0.178,0.059,10.390870532175569,8.357259153499912,5.075173815233827,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43,0.6,598,9.0,0,0,0,12000,15.81,0.148,0.7,0.233,9.749520189238702,7.841492924460013,6.601230118728877,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
23,0.8,580,3.8,0,1,0,35100,22.78,0.111,0.921,0.307,10.54820575369157,8.350429973538136,8.573195381531523,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
29,1.0,654,1.3,0,0,0,43200,11.57,0.249,1.804,0.601,10.08355657427679,8.694669696546992,6.459904454377535,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
39,19.6,648,9.4,0,0,0,38500,19.94,0.684,0.506,0.169,11.23979040315897,10.859960074043116,6.637258031284457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
46,4.0,690,20.6,0,0,0,100000,11.81,0.36,0.699,0.233,11.871592423529753,10.84857951821591,8.24564690087386,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
38,2.3,628,9.5,0,1,0,16400,19.35,0.429,0.704,0.235,10.056122798959722,9.208839245849916,6.361302477572996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
40,2.8,712,9.6,0,0,0,16100,16.04,0.108,0.655,0.218,10.109769746774926,7.884952945759814,5.017279836814924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
42,19.3,590,21.5,1,1,0,50000,13.26,0.341,0.335,0.112,11.914690402549617,10.839404425545462,8.418918622147897,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
51,27.5,703,25.2,0,0,0,48300,9.94,0.254,0.836,0.279,10.964622940059956,9.594105053105007,7.914617709040679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
39,9.8,636,5.5,0,0,0,15500,20.13,0.492,0.443,0.148,10.46218863654315,9.752606521576492,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
41,1.1,724,0.2,0,0,0,2800,15.95,0.071,0.072,0.024,10.572521327732806,7.9269635448629785,2.833213344056216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
44,7.1,656,16.9,0,0,0,27100,10.98,0.592,0.61,0.203,10.701264982174155,10.177628354421241,9.038602608721874,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,2.0,505,4.1,0,0,1,11000,13.2,0.577,0.219,0.073,10.8260982711551,10.27663605916775,4.634728988229636,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
51,1.4,704,25.1,0,0,0,1000,10.26,0.225,0.041,0.014,10.113464807318579,8.621373010325902,7.071573364211532,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
32,1.7,644,9.6,0,1,0,52000,13.05,0.099,1.714,0.571,10.320222252902523,8.005033344637111,8.044947049617722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
22,1.0,670,2.7,0,0,0,49200,11.13,0.054,1.278,0.426,10.558751125618441,7.634820677745543,5.924255797414532,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
29,3.3,674,3.2,0,0,0,70000,17.01,0.122,0.707,0.236,11.502440691327951,9.395657437749936,6.042632833682381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
19,1.0,816,0.4,0,0,0,100000,9.7,0.361,1.869,0.623,10.887754639419377,9.870137572854574,3.5553480614894135,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
20,1.7,561,0.0,0,1,2,59900,21.48,0.144,1.145,0.382,10.865172211700168,8.927844826211702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
21,0.4,547,1.3,1,2,1,1800,22.27,0.399,0.102,0.034,9.77571099759397,8.85666093701725,4.1588830833596715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46,13.6,666,2.9,0,0,0,29700,17.96,0.317,0.672,0.224,10.697045519027986,9.549095714611964,6.823286122355687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
39,17.0,645,1.5,1,2,0,58000,13.41,0.337,1.255,0.418,10.741038061468451,9.654064192201437,5.497168225293202,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
36,1.7,669,6.3,0,0,0,100000,11.58,0.271,1.442,0.481,11.146964683639354,9.842250243064939,7.642044402873258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
63,1.5,710,13.5,0,0,0,1600,16.57,0.329,0.101,0.034,9.672437829650821,8.559486103606488,8.241966560231802,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
22,1.0,515,3.0,0,3,0,50300,22.59,0.17,1.203,0.401,10.640795148881727,8.8698199525084,6.214608098422191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
46,25.3,722,16.2,0,0,0,6100,8.3,0.113,0.183,0.061,10.413492839918217,8.23031079913502,6.666956792429207,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
27,4.9,593,5.9,0,1,0,59800,15.67,0.467,0.924,0.308,11.07825809105385,10.31728452076383,8.516793111394898,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30,7.7,629,6.8,0,1,0,24000,12.12,0.202,0.179,0.06,11.806154623851127,10.208137355405476,6.617402977974478,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
18,1.0,604,1.1,0,0,0,100000,14.75,0.164,1.24,0.413,11.29766327398182,9.488123612248716,6.093569770045136,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
41,17.8,769,19.1,0,1,0,62300,14.97,0.316,0.614,0.205,11.528277024474665,10.37670476269511,9.210840247017833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
42,9.6,689,19.3,0,0,0,35800,17.09,0.286,0.696,0.232,10.848832104801021,9.59709825261865,9.509110741413384,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
49,13.9,608,7.4,0,0,0,38500,19.54,0.247,0.955,0.318,10.604429276561985,9.207536444643448,8.927181388251986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
19,0.7,622,2.0,0,1,0,19400,20.27,0.148,0.725,0.242,10.194663514242166,8.28576542051433,5.159055299214529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
52,1.4,679,22.1,0,0,0,46700,10.69,0.096,0.317,0.106,11.899778436866411,9.557399229195953,8.384347278082808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
39,20.5,715,11.8,0,0,0,58000,9.64,0.277,1.953,0.651,10.298632928237437,9.01322999770879,3.9318256327243257,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
38,1.3,546,1.4,0,1,3,54000,15.09,0.411,1.355,0.452,10.592651811785132,9.702594610156739,6.210600077024653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
35,9.0,584,2.7,0,0,0,70000,21.05,0.218,0.634,0.211,11.611983159515907,10.086683726740743,4.727387818712341,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
45,4.0,652,20.5,0,0,0,9300,10.74,0.033,0.62,0.207,9.61587214452889,6.194405391104672,9.287486581152837,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37,5.7,587,2.0,0,0,0,70000,22.17,0.12,0.657,0.219,11.576257008002692,9.457669090078747,2.995732273553991,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
38,16.8,591,17.3,0,0,0,45600,21.55,0.331,0.99,0.33,10.737700173374677,9.632531483999934,9.363919459904483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40,21.1,646,4.9,0,0,0,30800,19.14,0.309,0.154,0.051,12.203223590825424,11.028871591701666,7.532088143541722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
21,1.0,658,1.7,0,0,0,43100,11.58,0.462,1.419,0.473,10.321638520451476,9.548881894718772,6.139884552226255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
35,15.3,681,15.6,0,1,0,35500,17.43,0.622,0.868,0.289,10.619398657694624,10.145060239318704,8.760766624241956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43,10.8,600,24.6,0,0,0,22600,12.9,0.211,0.336,0.112,11.11620203679882,9.562545340443464,10.290313356425354,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
41,18.0,699,16.6,0,0,0,67500,18.26,0.502,0.925,0.308,11.197968114383364,10.509305123657686,6.7357800142423265,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
30,5.3,633,1.5,0,1,0,40900,20.25,0.205,1.049,0.35,10.571522032280997,8.986071187374463,2.0794415416798357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
33,9.4,617,4.2,0,5,0,6400,19.53,0.287,0.204,0.068,10.353416017350813,9.106312301552135,4.836281906951478,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
41,1.7,608,4.6,0,2,0,7200,12.17,0.027,0.319,0.106,10.024864123702642,6.429719478039138,4.51085950651685,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
18,0.0,603,1.0,0,1,0,33500,19.06,0.111,1.358,0.453,10.113545864301683,7.914617709040679,4.663439094112067,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
18,1.3,524,1.8,0,0,1,1900,22.17,0.284,0.098,0.033,9.869465303921691,8.612503371220562,4.955827057601261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
39,5.0,707,15.6,0,0,0,44800,15.79,0.051,0.66,0.22,11.125850221973655,8.14902386805177,8.573195381531523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
31,6.8,637,7.5,0,1,0,70000,19.8,0.557,0.827,0.276,11.345949559069204,10.76157697400153,9.58623934448258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,10.8,600,2.6,1,1,0,28200,11.96,0.164,0.583,0.194,10.785993967241678,8.981052985901483,4.990432586778736,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,4.3,696,2.2,0,0,1,43400,11.24,0.19,0.708,0.236,11.024089617429157,9.364691031806107,6.021023349349527,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
37,11.4,645,4.9,0,1,0,19400,11.84,0.597,0.177,0.059,11.606452237266511,11.091163277944997,6.905753276311464,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
34,14.8,623,8.0,0,1,0,9300,11.4,0.097,0.329,0.11,10.250581747317963,7.920446505142607,3.6635616461296463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
29,2.2,570,9.9,0,1,1,10300,22.36,0.546,0.256,0.085,10.602268831713166,9.996431298178866,6.045005314036012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
36,13.6,671,16.5,0,0,0,100000,12.25,0.178,1.178,0.393,11.34901733568699,9.624302610338294,6.437751649736401,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
51,10.7,626,6.2,0,3,1,21800,14.86,0.194,0.969,0.323,10.02167050821384,8.384347278082808,5.298317366548036,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
36,4.9,529,6.1,0,2,1,43800,16.72,0.547,1.076,0.359,10.614327292626992,10.010591547450328,5.3612921657094255,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
31,4.3,735,5.9,0,0,0,2200,17.13,0.336,0.102,0.034,9.977852634491434,8.886270902072013,7.487173694213739,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
34,8.7,596,8.0,0,0,0,62300,16.66,0.108,1.017,0.339,11.023110888393703,8.801168401936692,8.53660358493606,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
34,1.9,749,13.1,0,0,0,1500,15.59,0.325,0.1,0.033,9.61587214452889,8.492900498847193,6.871091294610546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
34,6.7,651,11.3,0,0,0,100000,11.38,0.069,0.916,0.305,11.600963814443052,8.929832503272403,9.042631527550073,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
24,0.6,612,2.1,0,0,0,29100,20.9,0.164,0.805,0.268,10.495487551091115,8.687442166975924,7.397561535524052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
26,0.3,603,7.8,0,2,0,8600,11.26,0.562,0.279,0.093,10.335367366815744,9.758519582283522,6.1070228877422545,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
37,11.1,768,5.7,0,0,1,17700,15.66,0.166,0.228,0.076,11.26113806771427,9.46280968867222,6.29156913955832,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
47,14.8,697,18.0,0,0,0,3500,18.32,0.461,0.058,0.019,11.014983160368345,10.24092361024682,8.319229938632326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
18,1.0,658,2.0,0,0,0,48500,9.73,0.303,0.745,0.248,11.08417125888411,9.890047640169426,4.8283137373023015,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
23,1.2,668,0.7,0,0,0,81100,12.64,0.121,1.389,0.463,10.975156781589796,8.862341963516347,6.137727054086234,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
18,0.0,706,1.7,0,1,0,17300,8.74,0.638,0.632,0.211,10.21712972665744,9.767324127723256,5.730099782973574,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
35,0.6,731,13.5,0,1,1,3100,16.55,0.025,0.101,0.034,10.334945240918547,6.646390514847729,8.133587417660966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
27,7.8,615,3.6,0,1,0,19500,19.31,0.281,0.418,0.139,10.75064254557542,9.48006211905097,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
51,1.2,778,19.2,0,1,0,17600,9.24,0.163,1.171,0.39,9.61767040669386,7.806696372521179,6.953684210870537,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
36,5.4,665,1.2,0,0,0,24900,12.59,0.274,0.824,0.275,10.315729644923316,9.020268861722167,5.768320995793772,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
20,1.6,656,0.1,0,2,0,9500,11.59,0.18,0.633,0.211,9.61587214452889,7.903596289614301,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
44,15.4,706,21.8,0,0,0,31700,17.3,0.38,0.946,0.315,10.419211161564311,9.452894316810216,8.928375259853631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
40,3.4,553,19.5,0,2,0,20600,13.01,0.171,0.471,0.157,10.68505761344597,8.920923462230686,6.476972362889683,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
25,1.8,692,1.5,0,0,0,25700,17.33,0.14,0.316,0.105,11.305667565886232,9.341105441855735,7.709756864454165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
21,1.0,530,2.1,0,0,0,46400,13.86,0.275,0.727,0.242,11.063743551416792,9.771155440487087,6.450470422144176,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,0.2,585,15.7,0,0,0,1500,22.92,0.225,0.1,0.033,9.61587214452889,8.124743020385568,8.518991573357617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
33,9.1,691,11.9,0,0,0,32100,10.9,0.529,1.053,0.351,10.32456350815844,9.687257547490987,7.085901464365611,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,0.9,636,4.2,0,1,0,4300,19.97,0.351,0.1,0.033,10.670419438719087,9.624104282899042,6.278521424165844,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
18,1.0,615,1.7,0,0,0,20400,20.06,0.419,0.937,0.312,9.988425949052319,9.119758993744945,4.969813299576001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
42,2.5,591,1.0,1,2,0,27100,14.36,0.198,0.675,0.225,10.600302996782498,8.981681639973862,5.988961416889864,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
36,16.6,651,15.9,0,0,0,8900,17.94,0.32,0.325,0.108,10.217348936771211,9.076923258535832,6.366470447731438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
33,13.0,595,8.0,0,1,0,5000,13.03,0.101,0.202,0.067,10.118074601167217,7.821643126239982,5.645446897643238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41,0.0,548,16.6,0,0,0,39700,16.35,0.8,1.22,0.407,10.389918019467396,10.166774468153188,7.374001859350161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
20,1.2,501,1.9,1,1,0,14000,16.6,0.275,0.933,0.311,9.61587214452889,8.32579052588609,6.1224928095143865,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
41,5.9,538,2.6,0,0,0,32200,22.85,0.242,1.373,0.458,10.063052122207466,8.644530439877432,5.971261839790462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
26,4.6,639,7.5,0,1,0,27100,20.17,0.225,0.452,0.151,11.001232798764887,9.507700460979235,7.964503363551548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
54,7.4,777,25.5,0,0,0,66700,15.56,0.482,1.021,0.34,11.087512719052368,10.357044168111546,8.456806041401142,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
46,21.0,526,23.6,0,0,1,16200,16.56,0.317,0.712,0.237,10.032672010916954,8.885302512980633,7.429520842786462,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
44,3.1,603,13.9,0,0,0,5900,19.42,0.205,0.345,0.115,9.747652120978,8.16223106548118,8.166784289056151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55,32.8,632,10.7,0,0,0,70000,20.27,0.454,1.126,0.375,11.037322186913999,10.248530101745105,7.6251071482389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
25,0.8,563,2.1,1,0,1,25200,21.73,0.542,0.633,0.211,10.59194877110536,9.978919647651981,7.986164860332727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
31,2.7,605,11.0,0,0,0,50000,11.31,0.31,0.491,0.164,11.531315330081819,10.361513484709917,7.163946684342547,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
48,1.2,630,12.9,0,0,0,17700,14.29,0.122,0.746,0.249,10.074031693706946,7.970740390007095,10.763419550740899,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
20,0.8,567,1.7,0,0,0,45400,21.15,0.312,1.171,0.39,10.565556777525211,9.402447229504935,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
51,8.3,727,17.6,0,1,0,16500,17.35,0.543,0.197,0.066,11.337905188837746,10.7268293147539,8.442038517815478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
29,6.5,589,10.2,0,2,2,61400,22.8,0.263,1.333,0.444,10.737526471793554,9.401869409521051,5.5093883366279774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
